Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
Chevrolet,Astro Cargo,2003,regular unleaded,190,6,AUTOMATIC,rear wheel drive,3,,Large,Cargo Minivan,21,15,1385,22050
Chevrolet,Astro Cargo,2003,regular unleaded,190,6,AUTOMATIC,all wheel drive,3,,Large,Cargo Minivan,18,14,1385,24450
Chevrolet,Astro Cargo,2004,regular unleaded,190,6,AUTOMATIC,all wheel drive,3,,Large,Cargo Minivan,18,14,1385,25195
Chevrolet,Astro Cargo,2004,regular unleaded,190,6,AUTOMATIC,rear wheel drive,3,,Large,Cargo Minivan,19,14,1385,22695
Chevrolet,Astro Cargo,2005,regular unleaded,190,6,AUTOMATIC,rear wheel drive,3,,Large,Cargo Minivan,20,15,1385,22930
Chevrolet,Astro Cargo,2005,regular unleaded,190,6,AUTOMATIC,all wheel drive,3,,Large,Cargo Minivan,18,14,1385,25430
Chevrolet,Astro,2003,regular unleaded,190,6,AUTOMATIC,all wheel drive,3,,Large,Passenger Minivan,16,12,1385,25690
Chevrolet,Astro,2003,regular unleaded,190,6,AUTOMATIC,rear wheel drive,3,,Large,Passenger Minivan,19,14,1385,23690
,Astro,2004,regular unleaded,190,6,AUTOMATIC,all wheel drive,3,,Large,Passenger Minivan,16,12,1385,26195
,Astro,2004,regular unleaded,190,6,AUTOMATIC,rear wheel drive,3,,Large,Passenger Minivan,19,14,1385,24195
,Astro,2005,regular unleaded,190,6,AUTOMATIC,rear wheel drive,3,,Large,Passenger Minivan,20,14,1385,24430
,Astro,2005,regular unleaded,190,6,AUTOMATIC,all wheel drive,3,,Large,Passenger Minivan,16,12,1385,26430
,Avalanche,2010,flex-fuel (unleaded/E85),,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,45815
,Avalanche,2010,flex-fuel (unleaded/E85),,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,35725
,Avalanche,2010,flex-fuel (unleaded/E85),,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,38830
,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,39405
,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,46195
